Keyword	Competition	Global Monthly Searches	Jan 2011	Dec 2010	Nov 2010	Oct 2010	Sep 2010	Aug 2010	Jul 2010	Jun 2010	May 2010	Apr 2010	Mar 2010	Feb 2010	Ad Share	Search Share	Estimated Avg. CPC	Extracted From Webpage	Local Monthly Searches
seo	0.45	6120000	-	1500000	1220000	1220000	1220000	1220000	1220000	1000000	1000000	1000000	1000000	823000	-	-	$3.77	-	1000000
seo tools	0.67	74000	-	18100	18100	18100	18100	18100	22200	14800	22200	22200	22200	14800	-	-	$2.48	-	18100
seo tips	0.46	60500	-	18100	14800	14800	14800	12100	14800	14800	12100	12100	14800	12100	-	-	$6.31	-	14800
seo software	0.78	74000	-	18100	14800	14800	18100	14800	18100	12100	14800	22200	27100	12100	-	-	$2.93	-	18100
seo basics	0.42	5400	-	2400	2400	2400	2400	2400	1900	1900	1900	1600	1900	1900	-	-	$1.69	-	1900
google seo	0.44	110000	-	33100	27100	27100	27100	22200	22200	22200	22200	22200	22200	18100	-	-	$4.25	-	22200
seo company	0.58	201000	-	90500	90500	74000	60500	60500	60500	60500	49500	49500	49500	49500	-	-	$5.19	-	60500
seo companies	0.73	40500	-	22200	22200	22200	18100	14800	14800	12100	14800	12100	12100	12100	-	-	$6.30	-	14800
best seo	0.53	60500	-	27100	22200	22200	18100	18100	22200	18100	18100	18100	22200	14800	-	-	$16.80	-	18100
search engine optimization seo	0.51	22200	-	8100	9900	6600	8100	8100	6600	6600	8100	8100	8100	8100	-	-	$6.36	-	8100
local seo	0.43	27100	-	90500	18100	18100	18100	14800	12100	9900	8100	8100	8100	6600	-	-	$0.05	-	18100
seo packages	0.69	18100	-	8100	5400	5400	5400	5400	5400	4400	3600	3600	2900	3600	-	-	$4.17	-	4400
seo training	0.7	33100	-	6600	6600	6600	6600	6600	6600	6600	6600	5400	8100	5400	-	-	$3.51	-	6600
seo pricing	0.77	4400	-	3600	2900	2400	2400	2400	2400	2400	1600	1900	1900	1900	-	-	$7.63	-	2400
what is seo	0.39	22200	-	8100	8100	8100	8100	6600	6600	6600	5400	5400	6600	5400	-	-	$2.95	-	6600
