Keyword,Competition,Global Monthly Searches,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
document,0.25,6120000,-,2240000,2240000,2240000,2240000,1830000,1830000,1830000,1830000,2240000,2240000,1830000,-,-,$3.78,-,2240000
documents,0.18,3350000,-,1220000,1220000,1220000,1220000,1000000,1000000,1000000,1000000,1220000,1220000,1000000,-,-,$1.66,-,1220000
javascript document,0.01,165000,-,27100,33100,33100,33100,27100,27100,27100,33100,33100,33100,33100,-,-,$0.53,-,33100
document scanner,0.79,60500,-,49500,40500,33100,33100,33100,33100,27100,27100,27100,33100,22200,-,-,$3.54,-,33100
documents google,0.11,135000,-,60500,74000,74000,74000,49500,49500,49500,49500,60500,60500,49500,-,-,$2.26,-,60500
document javascript,0.01,165000,-,27100,33100,33100,33100,27100,27100,27100,33100,33100,33100,33100,-,-,$0.00,-,33100
document object model,0.03,9900,-,2400,2900,2900,2400,1900,1900,1900,2400,2400,2400,2400,-,-,$0.77,-,2400
word document,0.12,673000,-,368000,368000,368000,368000,301000,246000,301000,301000,301000,368000,301000,-,-,$1.18,-,301000
untitled document,0.02,90500,-,1300,1300,1600,1600,1300,1000,1000,1300,1300,1300,5400,-,-,$0.05,-,1600
doc,0.15,13600000,-,1830000,1830000,2240000,1830000,1830000,1500000,1830000,1830000,1830000,1830000,1500000,-,-,$0.96,-,1830000
html document,0.06,74000,-,18100,22200,22200,22200,18100,18100,18100,18100,18100,18100,18100,-,-,$0.82,-,18100
google documents,0.11,135000,-,60500,74000,74000,74000,49500,49500,49500,49500,60500,60500,49500,-,-,$0.00,-,60500
javascript document.write,0,18100,-,4400,4400,5400,4400,4400,4400,4400,4400,4400,5400,4400,-,-,$1.05,-,4400
document.getelementbyid,0,110000,-,14800,18100,18100,18100,18100,14800,18100,18100,18100,18100,14800,-,-,$0.38,-,18100
xml document,0.05,165000,-,40500,49500,49500,49500,49500,49500,40500,49500,49500,49500,40500,-,-,$1.45,-,49500
convert word document to pdf,0.44,60500,-,27100,27100,27100,27100,22200,22200,22200,22200,22200,27100,27100,-,-,$1.78,-,27100
mhtml document,0.14,2900,-,590,480,590,590,590,590,590,880,1000,1000,880,-,-,$0.70,-,720
google docs,0.1,2240000,-,1220000,1220000,1220000,1220000,823000,673000,823000,1000000,1000000,1000000,823000,-,-,$1.90,-,1000000
document converter,0.23,74000,-,12100,12100,12100,12100,9900,9900,9900,12100,12100,12100,12100,-,-,$1.74,-,12100
online document management,0.95,4400,-,1900,2400,1600,1600,1900,1900,1600,1900,1900,1900,1600,-,-,$14.35,-,1900
docs,0.1,3350000,-,1500000,1830000,1830000,1830000,1220000,1000000,1220000,1500000,1500000,1500000,1220000,-,-,$1.83,-,1500000
how to convert a word document to pdf,0.34,18100,-,12100,12100,12100,12100,9900,8100,8100,9900,9900,12100,9900,-,-,$1.26,-,9900
document control,0.5,60500,-,18100,22200,22200,22200,18100,18100,18100,18100,22200,22200,18100,-,-,$6.43,-,18100
how to convert word document to pdf,0.34,18100,-,12100,12100,12100,12100,9900,8100,8100,9900,9900,12100,9900,-,-,$0.99,-,9900
share documents,0.43,12100,-,5400,5400,5400,5400,4400,4400,4400,4400,4400,4400,3600,-,-,$3.16,-,4400
google document,0.15,60500,-,18100,18100,18100,18100,14800,12100,12100,12100,14800,12100,12100,-,-,$3.93,-,14800
document.write,0.02,60500,-,12100,14800,14800,14800,12100,12100,12100,12100,14800,14800,14800,-,-,$0.57,-,14800
document google,0.15,60500,-,18100,18100,18100,18100,14800,12100,12100,12100,14800,12100,12100,-,-,$0.00,-,14800
electronic document management system,0.88,3600,-,1000,1300,1300,1000,1000,1000,1000,880,1000,1000,720,-,-,$7.18,-,1000
change word document to pdf,0.43,60500,-,27100,33100,33100,33100,27100,27100,27100,27100,27100,33100,27100,-,-,$0.05,-,27100
hibernate documentation,0,4400,-,880,1000,1000,1000,1000,1000,1300,1000,1300,1300,1000,-,-,$0.05,-,1000
document management,0.81,301000,-,110000,110000,110000,110000,110000,110000,90500,110000,110000,110000,90500,-,-,$10.87,-,110000
converting word document to pdf,0.44,60500,-,27100,33100,33100,33100,27100,22200,27100,27100,27100,33100,27100,-,-,$1.38,-,27100
shared documents,0.2,33100,-,9900,9900,9900,9900,9900,8100,9900,9900,12100,12100,9900,-,-,$3.04,-,9900
documentation,0.13,1830000,-,450000,550000,550000,550000,550000,450000,450000,550000,550000,550000,550000,-,-,$1.43,-,550000
gmail documents,0.04,14800,-,2900,3600,3600,3600,3600,3600,5400,8100,6600,3600,3600,-,-,$0.05,-,4400
document management database,0.81,1000,-,590,720,480,320,480,320,390,390,390,480,260,-,-,$7.58,-,390
document management solutions,0.88,5400,-,2400,2400,1900,2400,2400,1900,1900,2900,1900,2400,1600,-,-,$9.22,-,1900
convert word document into pdf,0.37,2900,-,1300,1300,1600,1600,1300,1000,1000,1300,1300,1600,1300,-,-,$1.37,-,1300
travel document,0.31,74000,-,27100,27100,27100,27100,27100,27100,27100,33100,27100,33100,27100,-,-,$1.06,-,27100
convert document to pdf,0.43,135000,-,49500,49500,49500,49500,49500,40500,40500,49500,49500,49500,49500,-,-,$2.07,-,49500
online document storage,0.92,3600,-,2400,1900,2400,2400,1900,1900,2400,1900,2400,1900,1900,-,-,$7.01,-,1900
software documentation,0.5,33100,-,9900,12100,9900,9900,9900,9900,8100,9900,9900,9900,9900,-,-,$1.86,-,9900
google shared documents,0.19,480,-,260,320,320,320,320,210,260,260,210,260,260,-,-,$0.05,-,260
document html,0.07,60500,-,14800,18100,18100,18100,14800,14800,14800,14800,14800,18100,14800,-,-,$0.00,-,14800
document scanning,0.8,60500,-,27100,22200,22200,27100,22200,22200,22200,22200,22200,27100,22200,-,-,$9.18,-,22200
requirements document,0.22,40500,-,18100,22200,22200,22200,22200,22200,22200,22200,22200,27100,22200,-,-,$1.30,-,22200
convert a word document to pdf,0.44,60500,-,27100,27100,27100,27100,22200,22200,22200,22200,22200,27100,27100,-,-,$1.79,-,27100
electronic document management,0.88,12100,-,4400,4400,4400,3600,4400,5400,3600,3600,4400,4400,3600,-,-,$0.00,-,4400
pdf document,0.27,301000,-,110000,110000,110000,110000,90500,90500,90500,90500,110000,110000,90500,-,-,$1.21,-,110000
document management software,0.94,40500,-,22200,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,-,-,$0.00,-,18100
document scanning software,0.86,9900,-,6600,5400,5400,6600,5400,5400,5400,5400,5400,6600,5400,-,-,$5.51,-,5400
document management system,0.84,49500,-,14800,14800,12100,12100,12100,12100,12100,12100,12100,14800,9900,-,-,$8.88,-,12100
converting a word document to pdf,0.44,60500,-,27100,33100,33100,33100,27100,22200,27100,27100,27100,33100,27100,-,-,$1.34,-,27100
source documents,0.09,18100,-,14800,22200,18100,14800,6600,5400,6600,14800,14800,18100,14800,-,-,$1.10,-,14800
document management services,0.75,2900,-,1000,1000,880,880,1000,880,880,880,880,880,720,-,-,$6.70,-,880
document management storage,0.85,1300,-,880,880,480,590,720,480,480,590,590,720,480,-,-,$9.05,-,590
document management online,0.95,4400,-,1900,2400,1600,1600,1900,1900,1600,1900,1900,1900,1600,-,-,$0.00,-,1900
document scanning services,0.93,8100,-,4400,3600,3600,3600,4400,3600,3600,4400,4400,5400,3600,-,-,$10.42,-,3600
my documents folder,0.04,14800,-,6600,6600,6600,8100,6600,6600,6600,6600,6600,8100,8100,-,-,$1.36,-,6600
word document converter,0.35,6600,-,1600,1900,1600,1900,1600,1300,1600,1600,1900,1900,1900,-,-,$1.55,-,1900
document management companies,0.87,2400,-,1300,1000,1000,1000,1000,880,880,1000,1000,1300,880,-,-,$8.62,-,1000
court documents,0.21,33100,-,22200,27100,27100,27100,27100,22200,22200,27100,22200,22200,22200,-,-,$0.77,-,22200
document management systems,0.84,60500,-,18100,18100,14800,14800,14800,14800,14800,14800,14800,18100,12100,-,-,$9.69,-,14800
court documents online,0.22,14800,-,14800,12100,14800,14800,14800,14800,14800,14800,14800,18100,14800,-,-,$0.79,-,14800
online document converter,0.23,1900,-,590,590,720,720,480,480,390,590,590,720,480,-,-,$1.71,-,590
api documentation,0.04,33100,-,9900,12100,12100,12100,9900,9900,9900,9900,12100,12100,9900,-,-,$0.89,-,9900
sharepoint document management,0.75,6600,-,2900,2400,2900,2900,3600,2900,2900,2400,2900,2900,2400,-,-,$7.56,-,2900
document control software,0.94,40500,-,22200,22200,18100,18100,18100,18100,18100,18100,18100,22200,18100,-,-,$11.87,-,18100
how to change word document to pdf,0.27,5400,-,2900,3600,3600,3600,2900,2400,2400,2400,2900,2900,2400,-,-,$0.05,-,2900
document management jobs,0.7,1000,-,320,320,320,260,260,390,320,260,320,390,880,-,-,$5.11,-,390
free document management software,0.9,2900,-,1300,1000,1000,880,1000,880,880,720,880,880,880,-,-,$5.21,-,880
document management server,0.71,1600,-,720,590,590,480,480,590,480,590,590,720,590,-,-,$7.48,-,590
word document to pdf converter,0.46,22200,-,1600,1900,1900,1600,1600,1600,1900,1900,2400,2900,2400,-,-,$1.11,-,1900
how to convert word document to pdf file,0.4,2900,-,1300,1600,1300,1600,1300,1300,1600,1600,1300,1900,1300,-,-,$1.56,-,1600
electronic document management systems,0.87,4400,-,1600,1600,1600,1300,1300,1300,1600,1300,1300,1300,880,-,-,$5.72,-,1300
how do i convert a word document to pdf,0.34,18100,-,12100,12100,12100,12100,9900,8100,8100,9900,9900,12100,9900,-,-,$0.05,-,9900
convert word document to pdf file,0.5,5400,-,2400,2900,2900,2900,2400,2400,2400,2400,2900,2900,2900,-,-,$1.85,-,2400
document management software reviews,0.95,1900,-,1600,1600,1300,1300,1300,1000,1000,1300,1300,1600,1300,-,-,$8.88,-,1300
java api documentation,0.01,5400,-,1300,1900,1900,1900,1300,1300,880,1000,1000,1300,1000,-,-,$0.62,-,1300
documents and settings vista,0.01,8100,-,1900,1900,1900,1900,1900,2400,1900,2400,2900,2900,2900,-,-,$0.05,-,2400
document repository,0.51,5400,-,2400,2400,2400,2400,2400,1900,1900,2400,2400,2900,1900,-,-,$5.39,-,2400
how to change a word document to a pdf,0.32,22200,-,12100,14800,14800,14800,9900,9900,9900,9900,12100,12100,9900,-,-,$0.05,-,12100
document content management,0.77,1900,-,1300,1300,720,880,880,880,720,1000,1000,1000,720,-,-,$6.63,-,880
electronic document,0.7,22200,-,9900,9900,9900,9900,9900,9900,9900,9900,9900,12100,9900,-,-,$7.66,-,9900
business document management,0.83,2400,-,1600,1300,1300,1000,1000,1000,880,1300,1000,1300,880,-,-,$15.94,-,1000
documentation software,0.5,33100,-,9900,12100,9900,9900,9900,9900,8100,9900,9900,9900,9900,-,-,$0.00,-,9900
document scanner software,0.81,9900,-,5400,5400,5400,5400,5400,5400,4400,4400,4400,5400,4400,-,-,$3.32,-,4400
technical documentation,0.35,18100,-,4400,5400,5400,5400,5400,4400,4400,4400,5400,4400,4400,-,-,$2.39,-,4400
documents online,0.54,33100,-,14800,14800,14800,14800,14800,12100,12100,14800,14800,14800,12100,-,-,$2.56,-,14800
document to pdf converter,0.49,8100,-,1600,1600,1600,1600,1300,1300,1300,1600,1900,1900,1600,-,-,$1.07,-,1600
document scanning company,0.89,880,-,320,210,260,480,320,170,170,210,170,320,260,-,-,$11.43,-,260
open source document management software,0.87,1900,-,880,880,880,590,720,720,880,880,720,880,720,-,-,$4.57,-,720
document management scanning,0.9,2900,-,1900,1300,1000,1000,1000,1000,880,1900,1000,1600,2900,-,-,$10.73,-,1300
document organizer,0.73,4400,-,3600,2900,2900,2400,2900,2400,2400,2400,2400,2400,2400,-,-,$5.32,-,2400
document management tool,0.82,1300,-,720,390,480,390,480,480,480,480,480,590,480,-,-,$10.38,-,480
document retrieval,0.5,6600,-,2900,2900,2900,2900,2900,2900,2400,2400,2900,2900,2400,-,-,$9.51,-,2900
document conversion software,0.71,320,-,210,170,170,170,210,170,110,170,210,210,140,-,-,$2.79,-,170
healthcare document management,0.78,480,-,480,390,320,320,320,320,260,880,390,320,260,-,-,$8.36,-,390
documents storage,0.53,3600,-,1300,1300,1300,1300,1300,1300,1300,1300,1300,1000,1000,-,-,$6.62,-,1300
online document editor,0.54,880,-,320,320,390,390,260,390,260,320,320,320,210,-,-,$1.87,-,320
hummingbird document management,0.32,4400,-,1600,1600,1600,1600,1300,1300,1600,1600,1600,1600,1600,-,-,$5.97,-,1600
help documentation software,0.7,260,-,170,140,140,170,140,140,110,140,140,140,110,-,-,$5.41,-,140
web based document management software,0.92,480,-,390,260,170,140,170,210,170,210,210,210,170,-,-,$18.48,-,210
technical documentation template,0.22,2900,-,1000,1300,1300,1300,1300,1000,1600,1000,1300,1300,1300,-,-,$0.05,-,1300
document management consulting,0.86,590,-,320,210,210,170,170,1600,170,880,260,210,140,-,-,$6.73,-,390
dms document management system,0.84,880,-,390,260,210,170,210,170,170,260,210,260,210,-,-,$4.53,-,210
document database software,0.8,390,-,320,320,320,170,170,210,210,170,170,210,170,-,-,$5.60,-,210
convert pdf document to word,0.45,40500,-,22200,22200,27100,22200,18100,18100,18100,18100,22200,27100,22200,-,-,$0.00,-,22200
document comparison tool,0.62,320,-,140,140,140,110,210,170,170,260,210,260,210,-,-,$1.98,-,210
document generation software,0.82,210,-,170,91,110,110,140,110,91,140,170,110,73,-,-,$5.28,-,110
changing word document to pdf,0.42,74000,-,33100,33100,40500,33100,27100,27100,27100,33100,33100,40500,33100,-,-,$0.05,-,33100
repair word document,0.2,4400,-,1300,1300,1300,1300,1000,1000,1000,1300,1600,1600,1300,-,-,$1.05,-,1300
convert pdf to editable word document,0.41,720,-,480,390,480,390,390,320,390,320,390,390,320,-,-,$0.05,-,390
convert word document to jpeg,0.17,2400,-,1300,1300,1300,1300,1300,1000,1300,1300,1300,1300,1300,-,-,$0.87,-,1300
document object,0.02,22200,-,6600,8100,8100,8100,6600,6600,6600,6600,8100,8100,6600,-,-,$0.73,-,6600
convert word document to html,0.28,2400,-,1000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,-,-,$1.11,-,1300
convert word document to pdf online,0.29,1900,-,390,480,390,390,320,320,320,390,390,480,390,-,-,$0.05,-,390
