Keyword,Competition,Global Monthly Searches,Jan-11,Dec-10,Nov-10,Oct-10,Sep-10,Aug-10,Jul-10,Jun-10,May-10,Apr-10,Mar-10,Feb-10,Ad Share,Search Share,Estimated Avg. CPC,Extracted From Webpage,Local Monthly Searches
lawyer legal,0.47,14800,-,5400,6600,8100,6600,5400,22200,5400,18100,5400,5400,8100,-,-,$4.58 ,-,8100
free legal advice,0.85,90500,-,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,40500,-,-,$2.07 ,-,49500
find a lawyer,0.77,33100,-,27100,27100,27100,27100,27100,22200,22200,18100,22200,22200,18100,-,-,$9.50 ,-,22200
legal lawyer,0.47,14800,-,5400,6600,8100,6600,5400,22200,5400,18100,5400,5400,8100,-,-,$0.00 ,-,8100
lawyer search,0.62,12100,-,8100,8100,9900,8100,8100,8100,8100,8100,8100,9900,8100,-,-,$7.33 ,-,8100
legal malpractice lawyer,0.78,5400,-,4400,4400,4400,4400,3600,8100,3600,5400,6600,4400,2900,-,-,$11.01 ,-,4400
legal lawyers,0.58,14800,-,6600,6600,6600,6600,6600,12100,5400,14800,6600,6600,8100,-,-,$5.04 ,-,8100
legal attorney,0.48,22200,-,18100,18100,18100,18100,18100,27100,14800,22200,14800,14800,18100,-,-,$4.36 ,-,18100
ask a lawyer,0.79,22200,-,18100,18100,18100,18100,18100,18100,18100,18100,18100,18100,14800,-,-,$6.50 ,-,18100
find lawyer,0.77,33100,-,27100,27100,27100,27100,27100,22200,22200,18100,22200,22200,18100,-,-,$8.40 ,-,22200
attorney search,0.3,74000,-,74000,60500,60500,60500,60500,60500,60500,60500,60500,74000,60500,-,-,$8.89 ,-,60500
litigation lawyer,0.66,12100,-,8100,6600,6600,6600,8100,8100,6600,8100,6600,6600,5400,-,-,$4.67 ,-,6600
need a lawyer,0.51,27100,-,18100,22200,22200,22200,18100,14800,14800,18100,18100,18100,14800,-,-,$4.44 ,-,18100
lawyer referral,0.64,27100,-,18100,18100,18100,18100,18100,18100,22200,18100,22200,22200,18100,-,-,$3.93 ,-,18100
legal aid lawyer,0.78,8100,-,1900,2400,2900,2900,2900,2400,2400,2900,2400,2400,1900,-,-,$2.72 ,-,2400
law firms,0.44,450000,-,246000,301000,301000,301000,301000,301000,246000,246000,246000,301000,246000,-,-,$3.28 ,-,301000
find attorney,0.74,12100,-,12100,12100,12100,12100,12100,12100,9900,9900,12100,12100,9900,-,-,$7.18 ,-,12100
legal attorneys,0.59,8100,-,5400,6600,6600,6600,6600,8100,5400,9900,6600,8100,6600,-,-,$6.17 ,-,6600
find lawyers,0.75,4400,-,2900,2900,2900,3600,3600,2900,2900,2400,2400,2900,2400,-,-,$7.50 ,-,2900
divorce lawyer,0.74,165000,-,165000,201000,201000,165000,135000,135000,135000,135000,110000,110000,90500,-,-,$8.96 ,-,135000
legal aid lawyers,0.78,8100,-,1900,2400,2900,2900,2900,2400,2400,2900,2400,2400,1900,-,-,$1.81 ,-,2400
